city,deliveryTime,foodType,price,restaurantName
ambikapur,77 MINS,"North Indian, Chinese, Beverages, Ice Cream",₹200 FOR TWO,Snow Junkie
ambikapur,60 MINS,"Bakery, Italian, Fast Food",₹100 FOR TWO,Ma Mahamaya Daily Needs
ambikapur,61 MINS,"North Indian, South Indian, Chinese",₹250 FOR TWO,Cafe Chilli Flakes
ambikapur,64 MINS,"North Indian, Chinese, Beverages",₹250 FOR TWO,Hotel The Hills
ambikapur,57 MINS,"Beverages, Fast Food",₹200 FOR TWO,Juice Factory
ambikapur,55 MINS,North Indian,₹150 FOR TWO,Hotel Nishant Inn
ambikapur,64 MINS,Bakery,₹150 FOR TWO,Bitee Me
ambikapur,55 MINS,"North Indian, Chinese, Beverages",₹200 FOR TWO,Eat & Meet
ambikapur,63 MINS,"North Indian, Chinese, Beverages",₹200 FOR TWO,Hotel Kartik
ambikapur,55 MINS,"North Indian, Chinese, Beverages",₹350 FOR TWO,Avalon Inn
ambikapur,65 MINS,"North Indian, Chinese",₹200 FOR TWO,Hotel Punjab
ambikapur,68 MINS,"Beverages, Chinese, Fast Food, Mughlai, North Indian",₹250 FOR TWO,Smokey Brew
ambikapur,57 MINS,"Beverages, Chinese, Mughlai",₹200 FOR TWO,Biryani's Hub
ambikapur,62 MINS,"Desserts, Ice Cream",₹300 FOR TWO,Baskin Robbins
ambur,21 MINS,"Biryani, Indian, Chinese",₹300 FOR TWO,STAR BRIYANI SINCE 1890
ambur,20 MINS,South Indian,₹200 FOR TWO,Hotel Amirdam
ambur,20 MINS,"South Indian, Fast Food, North Indian",₹200 FOR TWO,New Caapsi Restaurant
ambur,20 MINS,Fast Food,₹200 FOR TWO,A1 Briyani & Fast food
ambur,20 MINS,Chinese,₹250 FOR TWO,STAR KABAB CORNER
ambur,23 MINS,"Fast Food, Cafe, Beverages",₹350 FOR TWO,Meat & Eat
ambur,20 MINS,"Arabian, Fast Food",₹300 FOR TWO,MZ Kitchen
ambur,20 MINS,"Biryani, Arabian, Chinese",₹200 FOR TWO,Rahamaniya Briyani Hotel (M.C.Road Branch 2)
ambur,26 MINS,South Indian,₹200 FOR TWO,STAR HOME
ambur,24 MINS,Biryani,₹200 FOR TWO,Rahamaniya Briyani Hotel (Bazaar Branch)
ambur,27 MINS,"Pizzas, Fast Food, Chaat, Beverages",₹250 FOR TWO,Royal Pizza Since 2015
ambur,27 MINS,"Snacks, Pizzas, Beverages",₹300 FOR TWO,HELLY & CHILLY
ambur,27 MINS,"Desserts, Beverages",₹150 FOR TWO,Muneer Sweets
ambur,35 MINS,"North Indian, South Indian, Chinese, Biryani, Chettinad",₹500 FOR TWO,Dindigul Thalappakatti
ambur,27 MINS,"Desserts, Beverages",₹300 FOR TWO,karuna sweets
ambur,27 MINS,"Sweets, Snacks, Bakery",₹200 FOR TWO,chennai hot puff
ankleshwar,35 MINS,"Biryani, Chinese, Fast Food, Mughlai, Punjabi",₹150 FOR TWO,Nice Non-Veg Food
ankleshwar,35 MINS,"Desserts, Fast Food",₹200 FOR TWO,Real Sweets
ankleshwar,35 MINS,"Punjabi, Indian, Chinese, Gujarati, North Indian",₹200 FOR TWO,Delhi Chole Bhature
ankleshwar,36 MINS,"Chinese, Fast Food, North Indian, Punjabi, Gujarati, Biryani, Thalis",₹180 FOR TWO,Aashirwad Inn Fast Food
ankleshwar,37 MINS,"Chinese, Fast Food, Italian, Combo, Pastas, Grill, Pizzas",₹200 FOR TWO,Bite Me Food Zone
ankleshwar,38 MINS,"Chinese, Fast Food, North Indian, Punjabi, Gujarati, Biryani, Thalis",₹250 FOR TWO,Decent Fast And Food
ankleshwar,39 MINS,"Punjabi, Rajasthani",₹200 FOR TWO,Kika Dal Bati And Punjabi Kitchen
ankleshwar,39 MINS,"Desserts, Beverages",₹200 FOR TWO,The Belgian Waffle Co.
ankleshwar,39 MINS,Pizzas,₹200 FOR TWO,Mark 24 Pizza
ankleshwar,50 MINS,"Chinese, Fast Food",₹120 FOR TWO,It's My Cafe
ankleshwar,55 MINS,"Chinese, Fast Food, North Indian, Punjabi, Biryani",₹100 FOR TWO,Frankie Zone
ankleshwar,64 MINS,"Fast Food, Chinese, Pizzas",₹150 FOR TWO,Tandoori Chai And Fastfood
ankleshwar,-- MINS,Continental,₹250 FOR TWO,A One Al Baik  Fast Food
ankleshwar,-- MINS,"Indian, Chinese, Fast Food, Italian",₹200 FOR TWO,Happy Food Zone
ankleshwar,-- MINS,Indian,₹250 FOR TWO,William John's Pizza
amritsar,33 MINS,Fast Food,₹200 FOR TWO,Sip n Breww
amritsar,33 MINS,"North Indian, Sweets, Snacks, South Indian, Continental",₹300 FOR TWO,Novelty Sweets
amritsar,36 MINS,"North Indian, Chinese, South Indian, Snacks, Beverages, Desserts, Biryani",₹200 FOR TWO,Sanjha Chulha
amritsar,71 MINS,"Bakery, Pizzas, Snacks, Fast Food, Combo",₹400 FOR TWO,Bariesto's Bakehouse (Breads & More)
amritsar,32 MINS,"American, Fast Food",₹250 FOR TWO,Burger King
amritsar,29 MINS,"Chaat, Snacks, Street Food, South Indian, Combo",₹100 FOR TWO,New Rajasthan chat bhandar(Lawrence road)
amreli,25 MINS,"North Indian, Punjabi, Fast Food, Thalis",₹150 FOR TWO,Akshar Restaurant
